PAC_NAME,RUSSELL_1000_COMPANY,TRANSACTION_YEAR,TRANSACTION_AMT,TRANSACTION_TP,COSINE_SIMILARITY
GAP PAC,GAP INC,2009,5000,24K,1
GAP PAC,GAP INC,2011,5000,24K,1
GAP PAC,GAP INC,2011,5000,24K,1
GAP PAC,GAP INC,2012,5000,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2012,1000,24K,1
MURPHY OIL CORPORATION POLITICAL ACTION COMMITTEE,MURPHY OIL CORP,2013,1000,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2014,500,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2014,500,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2014,1000,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2014,500,24K,1
MURPHY OIL CORPORATION POLITICAL ACTION COMMITTEE,MURPHY OIL CORP,2014,5000,24K,1
MURPHY OIL CORPORATION POLITICAL ACTION COMMITTEE,MURPHY OIL CORP,2014,2500,24K,1
MURPHY OIL CORPORATION POLITICAL ACTION COMMITTEE,MURPHY OIL CORP,2014,1000,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2015,1000,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2015,500,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2015,1000,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2015,1000,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2016,1000,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2016,500,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2016,500,24K,1
WEBSTER BANK PAC - FEDERAL,WEBSTER FINANCIAL CORP,2016,1000,24K,1
FLOWERS INDUSTRIES INC POLITICAL ACTION COMMITTEE,FLOWERS FOODS INC,2018,2500,24K,1
FLOWERS INDUSTRIES INC POLITICAL ACTION COMMITTEE,FLOWERS FOODS INC,2018,2500,24K,1
FLOWERS INDUSTRIES INC POLITICAL ACTION COMMITTEE,FLOWERS FOODS INC,2018,5000,24K,1
FLOWERS INDUSTRIES INC POLITICAL ACTION COMMITTEE,FLOWERS FOODS INC,2018,4000,24K,1
BANK OF HAWAII CORPORATION SPECIAL POLITICAL EDUCATION COMMITTEE,BANK OF HAWAII CORP,2019,1000,24K,1
FIRST HAWAIIAN BANK CITIZENSHIP COMMITTEE,FIRST HAWAIIAN INC,2020,1000,24K,1
UNITED PARCEL SERVICE PAC,UNITED PARCEL SERVICE,2009,2000,15,1
AT&T INC. FEDERAL POLITICAL ACTION COMMITTEE (AT&T FEDERAL PAC),AT&T INC,2009,1000,15,1
THE HOME DEPOT INC. PAC,HOME DEPOT INC,2009,2500,24I,1
